id,group,name,grain,required_for,example_source,notes
FEAT_CITY_KEY,位置,城市主键,城市,单套房价格方向;买租比较,data/city-registry.csv,跨数据源关联优先使用 city_key
FEAT_CITY_TIER,位置,城市层级,城市,城市层级房价方向;单套房价格方向,data/variable-registry.csv,后续可由数据聚类替代人工层级
FEAT_DISTRICT,位置,行政区,行政区,地段分化;单套房价格方向,地方行政区划或平台数据,行政区粒度不足以替代板块
FEAT_LOCATION_SEGMENT,位置,地段层级,板块;小区,地段分化;单套房价格方向,POI;成交;租金;通勤数据,核心次核心非核心需可复核
FEAT_TOTAL_PRICE,房屋属性,总价,单套房,单套房价格方向;买租比较,房源输入或成交数据,需区分挂牌价和成交价
FEAT_UNIT_PRICE,房屋属性,单价,单套房,单套房价格方向,房源输入或成交数据,与同质房源比较
FEAT_AREA_SQM,房屋属性,建筑面积,单套房,单套房价格方向;买租比较,房源输入或成交数据,统一平方米口径
FEAT_LAYOUT,房屋属性,户型,单套房,单套房价格方向,房源输入或成交数据,用于刚需和改善需求区分
FEAT_BUILD_YEAR,房屋属性,建成年份,小区;单套房,单套房价格方向,房源输入或小区档案,老旧小区折旧和流动性需单独评估
FEAT_FLOOR_ELEVATOR,房屋属性,楼层与电梯,单套房,单套房价格方向,房源输入或成交数据,影响流动性和老龄化需求
FEAT_TRANSIT_ACCESS,公共服务,轨交可达性,板块;小区,地段分化;单套房价格方向,地图POI或开放交通数据,记录距离和通勤时间口径
FEAT_SCHOOL_MEDICAL_ACCESS,公共服务,教育医疗可达性,板块;小区,地段分化;单套房价格方向,POI;地方公共服务数据,政策变化会影响学区溢价
FEAT_EMPLOYMENT_ACCESS,公共服务,就业中心可达性,板块;小区,地段分化;单套房价格方向,招聘;POI;通勤数据,比单纯市中心距离更重要
FEAT_LISTING_PRESSURE,市场流动性,挂牌压力,板块;小区,单套房价格方向,房产平台;冰山数据,需处理重复挂牌和平台样本偏差
FEAT_TRANSACTION_LIQUIDITY,市场流动性,成交活跃度,板块;小区,单套房价格方向,网签;平台成交;冰山数据,成交稀疏时不输出高置信判断
FEAT_RENT_MONTHLY,租赁,月租金,小区;单套房,买租比较,租赁平台;成交租金,挂牌租金需折价校验
FEAT_RENT_YIELD,租赁,租售比,小区;板块,单套房价格方向;买租比较,房价与租金合成,用于估值约束
FEAT_MORTGAGE_COST,买方约束,贷款成本,家庭;单套房,买租比较,利率;首付;贷款期限,需明确个人贷款资格假设
FEAT_HOLDING_PERIOD,买方约束,预期持有期限,家庭;单套房,买租比较,用户输入,短持有期对交易成本更敏感
FEAT_OPPORTUNITY_COST,买方约束,资金机会成本,家庭;单套房,买租比较,存款;理财;权益市场假设,用于首付和税费机会成本
