city_key,city_name,province,city_tier_v1,tier_rank,city_segment_v1,segment_rank,segment_basis,segment_confidence,special_city_type,needs_manual_review,review_reason,notes
cn_city_18026d37,上海,上海,一线,1,一线核心城市,1,继承主层级：一线城市,high,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_f3d7bea6,北京,北京,一线,1,一线核心城市,1,继承主层级：一线城市,high,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_6b188aa2,广州,广东,一线,1,一线核心城市,1,继承主层级：一线城市,high,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_13efdd84,深圳,广东,一线,1,一线核心城市,1,继承主层级：一线城市,high,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_d5d37f5f,成都,四川,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_6ab6de26,天津,天津,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_5dcc8e30,合肥,安徽,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_a2b3b36b,青岛,山东,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_e288ec11,东莞,广东,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_2f2c283e,佛山,广东,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_d4592da4,南京,江苏,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_2d101c83,苏州,江苏,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_84277e50,郑州,河南,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_4664b750,宁波,浙江,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_d2ccb6c4,杭州,浙江,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_1f8e09c1,武汉,湖北,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_89b6c6bc,长沙,湖南,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_e607e00d,重庆,重庆,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_27bdc60a,西安,陕西,新一线与强二线,2,新一线与强二线核心城市,2,继承主层级：新一线与强二线,medium,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_0c0f4817,昆明,云南,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_cd63eba5,包头,内蒙古,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_f5ac800c,呼和浩特,内蒙古,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_1b5d5f85,鄂尔多斯,内蒙古,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_bed05747,长春,吉林,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_b464f477,绵阳,四川,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_30d568c1,银川,宁夏,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_77d3a0e5,临沂,山东,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_1203aa8f,济南,山东,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_8481a7f6,济宁,山东,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_5882fc94,潍坊,山东,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_ed73bf12,烟台,山东,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_0d670112,太原,山西,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_46b8159c,中山,广东,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_d0a3882b,惠州,广东,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_c2a1e131,珠海,广东,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_5f4c256d,南宁,广西,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_14a03d46,柳州,广西,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_f3ecf709,桂林,广西,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_64e6759c,乌鲁木齐,新疆,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_3f14bdeb,南通,江苏,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_6fbde727,常州,江苏,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_64c0ff60,徐州,江苏,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_67186ed4,扬州,江苏,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_c449399a,无锡,江苏,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_c0946ea0,南昌,江西,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_258d1bf2,保定,河北,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_6f6cc9e7,唐山,河北,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_874e2fd9,石家庄,河北,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_9efe8e5e,洛阳,河南,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_06c3ea91,台州,浙江,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_7cbcef7f,嘉兴,浙江,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_be3bf3ea,温州,浙江,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_ded55fbd,绍兴,浙江,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_6b7d50e9,金华,浙江,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
cn_city_8e7394f4,海口,海南,普通二线,3,普通二线与区域中心城市,3,继承主层级：普通二线或区域中心候选,low,normal,no,,第一版人工规则种子，后续需用人口、产业、库存、成交、租金和通勤数据校正
