metric_name,inferred_variable_id,unit,city_segment_v1,segment_rank,segment_confidence,city_tier_v1,year_start,year_end,year_count,city_count,record_count,observed_count,missing_count,missing_rate,manual_review_city_count,manual_review_cities,coverage_grade,coverage_notes
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,一线核心城市,1,high,一线,2000,2024,25,4,100,98,2,0.0200,0,,good,存在缺失值
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,一线核心城市,1,high,一线,2005,2024,20,4,80,79,1,0.0125,0,,good,存在缺失值
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,一线核心城市,1,high,一线,2005,2024,20,4,80,78,2,0.0250,0,,usable_with_caution,存在缺失值
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,一线核心城市,1,high,一线,2002,2024,23,4,92,91,1,0.0109,0,,good,存在缺失值
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,一线核心城市,1,high,一线,2002,2024,23,4,92,90,2,0.0217,0,,usable_with_caution,存在缺失值
地级市房价,VAR_PRICE_NEW,元/平方米,一线核心城市,1,high,一线,2000,2022,23,4,92,91,1,0.0109,0,,good,存在缺失值
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,一线核心城市,1,high,一线,2000,2024,25,4,100,99,1,0.0100,0,,good,存在缺失值
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,新一线与强二线核心城市,2,medium,新一线与强二线,2000,2024,25,15,375,364,11,0.0293,0,,usable_with_caution,存在缺失值
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,新一线与强二线核心城市,2,medium,新一线与强二线,2005,2024,20,15,300,290,10,0.0333,0,,usable_with_caution,存在缺失值
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,新一线与强二线核心城市,2,medium,新一线与强二线,2005,2024,20,15,300,287,13,0.0433,0,,usable_with_caution,存在缺失值
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,新一线与强二线核心城市,2,medium,新一线与强二线,2002,2024,23,15,345,338,7,0.0203,0,,usable_with_caution,存在缺失值
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,新一线与强二线核心城市,2,medium,新一线与强二线,2002,2024,23,15,345,332,13,0.0377,0,,usable_with_caution,存在缺失值
地级市房价,VAR_PRICE_NEW,元/平方米,新一线与强二线核心城市,2,medium,新一线与强二线,2000,2022,23,15,345,345,0,0.0000,0,,good,
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,新一线与强二线核心城市,2,medium,新一线与强二线,2000,2024,25,15,375,367,8,0.0213,0,,usable_with_caution,存在缺失值
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,普通二线与区域中心城市,3,low,普通二线,2000,2024,25,52,1300,1205,95,0.0731,0,,usable_with_caution,存在缺失值
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,普通二线与区域中心城市,3,low,普通二线,2005,2024,20,52,1040,992,48,0.0462,0,,usable_with_caution,存在缺失值
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,普通二线与区域中心城市,3,low,普通二线,2005,2024,20,52,1040,954,86,0.0827,0,,usable_with_caution,存在缺失值
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,普通二线与区域中心城市,3,low,普通二线,2002,2024,23,52,1196,1166,30,0.0251,0,,usable_with_caution,存在缺失值
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,普通二线与区域中心城市,3,low,普通二线,2002,2024,23,52,1196,1125,71,0.0594,0,,usable_with_caution,存在缺失值
地级市房价,VAR_PRICE_NEW,元/平方米,普通二线与区域中心城市,3,low,普通二线,2000,2022,23,52,1196,1190,6,0.0050,0,,good,存在缺失值
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,普通二线与区域中心城市,3,low,普通二线,2000,2024,25,52,1300,1238,62,0.0477,0,,usable_with_caution,存在缺失值
住宅开发投资额,VAR_CONSTRUCTION,百万人民币,历史区划或数据异常城市,4,medium,三四线,2000,2024,25,4,100,38,62,0.6200,4,哈密;巢湖;莱芜;那曲,poor,存在缺失值；包含需人工核查城市；缺失率超过10%
住宅销售面积,VAR_VOLUME_TRANSACTION,千平方米,历史区划或数据异常城市,4,medium,三四线,2005,2024,20,4,80,39,41,0.5125,4,哈密;巢湖;莱芜;那曲,poor,存在缺失值；包含需人工核查城市；缺失率超过10%
住宅销售额,VAR_VOLUME_TRANSACTION,百万人民币,历史区划或数据异常城市,4,medium,三四线,2005,2024,20,3,60,37,23,0.3833,3,哈密;巢湖;莱芜,poor,存在缺失值；包含需人工核查城市；缺失率超过10%
商品房销售面积,VAR_VOLUME_TRANSACTION,千平方米,历史区划或数据异常城市,4,medium,三四线,2002,2024,23,4,92,44,48,0.5217,4,哈密;巢湖;莱芜;那曲,poor,存在缺失值；包含需人工核查城市；缺失率超过10%
商品房销售额,VAR_VOLUME_TRANSACTION,百万人民币,历史区划或数据异常城市,4,medium,三四线,2002,2024,23,3,69,42,27,0.3913,3,哈密;巢湖;莱芜,poor,存在缺失值；包含需人工核查城市；缺失率超过10%
地级市房价,VAR_PRICE_NEW,元/平方米,历史区划或数据异常城市,4,medium,三四线,2000,2022,23,2,46,9,37,0.8043,2,哈密;那曲,poor,存在缺失值；包含需人工核查城市；缺失率超过10%
房地产开发投资额,VAR_CONSTRUCTION,百万人民币,历史区划或数据异常城市,4,medium,三四线,2000,2024,25,4,100,49,51,0.5100,4,哈密;巢湖;莱芜;那曲,poor,存在缺失值；包含需人工核查城市；缺失率超过10%
