id,group,name,definition,expected_relationship,proxy_metrics,city_tier_relevance,quantifiable,lag_risk,confounders,notes
VAR_PRICE_NEW,核心被解释变量,新房价格指数,新建商品住宅价格变动,直接衡量新房市场价格,70城新建商品住宅价格指数,一线;二线;三线,yes,低,限价政策;产品结构;统计平滑,官方口径只作参考
VAR_PRICE_SECONDARY,核心被解释变量,二手房价格指数,二手住宅价格变动,更接近真实存量房出清压力,70城二手住宅价格指数;平台成交价,一线;二线;三线,yes,低,样本成交稀疏;平台覆盖,优先与成交量联用
VAR_VOLUME_TRANSACTION,核心被解释变量,成交量,住宅成交套数或面积,价格趋势的同步或领先验证,网签套数;成交面积;平台成交,重点城市;城市层级,yes,低,政策集中释放;假期效应,比价格更难被平滑
VAR_RENT_YIELD,核心被解释变量,租售比,租金相对房价的回报,租售比低代表资产价格偏离居住价值,租金指数;挂牌租金;房价指数,一线;二线;三四线,yes,中,租赁管制;平台样本,用于估值约束
VAR_BIRTHS,需求侧,出生人口,年度出生人口和出生率,长期住房新增需求下降,出生人口;出生率;少儿人口,全国;省级;城市层级,yes,高,生育政策;统计口径变化,长期变量不解释短期波动
VAR_MARRIAGE,需求侧,结婚登记,结婚登记数量和初婚趋势,婚姻减少可能压低刚需购房,结婚登记;初婚年龄;离婚登记,全国;省级,yes,中,登记制度;疫情扰动,与婚育观念共同看
VAR_HOUSEHOLD_SIZE,需求侧,家庭户规模,平均家庭户人口和独居比例,小型化可能提高户数但降低大户型需求,人口普查家庭户;独居比例,全国;城市层级,yes,高,老龄化;流动人口,方向可能双向
VAR_MIGRATION,需求侧,人口流入流出,常住人口和迁徙变化,流入支撑需求流出压低需求,常住人口变化;迁徙指数;户籍迁入,城市层级,yes,中,行政区划;教育医疗吸附,城市分化核心变量
VAR_INCOME,需求侧,居民收入,可支配收入和工资水平,收入增长支撑购买力,可支配收入;平均工资;个税代理,全国;省级;城市层级,yes,中,收入分布;灰色收入,需和房价收入比联用
VAR_EMPLOYMENT,需求侧,就业压力,就业和岗位景气,就业弱化降低购房预期和承债意愿,失业率;招聘岗位;行业薪资,一线;二线;三四线,yes,低,统计口径;灵活就业,高频代理很重要
VAR_AFFORDABILITY,需求侧,房价收入比,住房总价相对收入,越高越压制真实购买力,房价收入比;月供收入比;首付年数,城市层级,yes,低,收入分位;家庭支持,核心约束变量
VAR_LAND_SUPPLY,供给侧,土地供应,住宅用地供应和成交,供应增加可能形成未来库存,土地成交面积;楼面价;溢价率,城市层级,yes,中,规划用途;地方供地节奏,关注成交和流拍
VAR_INVENTORY,供给侧,库存压力,待售和广义库存,库存高压低价格和开工,待售面积;去化周期;新房库存,二线;三四线,yes,中,统计口径;预售制度,三四线特别重要
